Country,Daily Oil Consumption (Barrels),World Share,Yearly Gallons Per Capita,Price Per Gallon (USD),Price Per Liter (USD),Price Per Liter (PKR),GDP Per Capita ( USD ),Gallons GDP Per Capita Can Buy,xTimes Yearly Gallons Per Capita Buy,World Share1
Kiribati,400,0%,54.5,4.09,1.08,228.42,1671,409,7,0
Grenada,2000,0%,278.1,4.62,1.22,258.24,9262,2005,7,0
Gambia,3800,0%,27.1,5.04,1.33,281.51,787,156,6,0
Central African Republic,2800,0%,9.5,9.06,2.39,506.12,477,53,6,0
Dominica,1301,0%,279.7,4.78,1.26,267.34,7268,1521,5,0
Belize,4001,0%,166.5,6.68,1.76,373.09,4436,664,4,0
Niue,51,0%,484.4,11.43,3.02,638.73,15586,1364,3,0
Saint Pierre & Miquelon,660,0%,1705.1,8.27,2.19,462.13,34900,4220,2,0
Montserrat,400,0%,1231.1,4.57,1.21,255.07,12589,2755,2,0
Tonga,899,0%,136.3,16.2,4.28,905.22,4903,303,2,0
